,dateRqt,candidat,courant,nbabo_intial,nbabo_final,nbabo_delta,nbabo_taux,nbvues_intial,nbvues_final,nbvues_delta,nbvues_taux,nbvideos_intial,nbvideos_final,nbvideos_delta,nbvideos_taux
0,2021-12-06,Emmanuel Macron,centre,231000,231000,0,0.0,16062559,16062559,0,0.0,328,328,0,0.0
1,2021-12-06,Valérie Pécresse,droite,0,0,0,0.0,135332,135332,0,0.0,303,303,0,0.0
2,2021-12-06,Eric Zemmour,Extrême droite,312000,312000,0,0.0,15751891,15751891,0,0.0,43,43,0,0.0
3,2021-12-06,Marine Le Pen,Extrême droite,51800,51800,0,0.0,5503661,5503661,0,0.0,206,206,0,0.0
4,2021-12-06,Nicolas Dupont-Aignan,Extrême droite,75800,75800,0,0.0,22339029,22339029,0,0.0,2507,2507,0,0.0
5,2021-12-06,Jean Lassalle,divers,17700,17700,0,0.0,4765037,4765037,0,0.0,268,268,0,0.0
6,2021-12-06,Jean-Luc Mélenchon,Extrême gauche,609000,609000,0,0.0,128322180,128322180,0,0.0,1181,1181,0,0.0
7,2021-12-06,Yannick Jadot,vert,252,252,0,0.0,9657,9657,0,0.0,77,77,0,0.0
8,2021-12-06,Nathalie Arthaud,Extrême gauche,2280,2280,0,0.0,293303,293303,0,0.0,377,377,0,0.0
9,2021-12-06,Avec vous,majorité,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
10,2021-12-06,Fabien Roussel,Extrême gauche,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
11,2021-12-06,Anne Hidalgo,gauche,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,2022-01-04,Emmanuel Macron,centre,231000,232000,1000,0.004329004329004329,16062559,16426713,364154,0.022670982873899483,328,336,8,0.024390243902439025
1,2022-01-04,Valérie Pécresse,droite,0,0,0,0.0,135332,183708,48376,0.3574616498684716,303,309,6,0.019801980198019802
2,2022-01-04,Eric Zemmour,Extrême droite,312000,358000,46000,0.14743589743589744,15751891,25116829,9364938,0.5945278570045971,43,56,13,0.3023255813953488
3,2022-01-04,Marine Le Pen,Extrême droite,51800,52800,1000,0.019305019305019305,5503661,5628373,124712,0.022659825886805166,206,213,7,0.03398058252427184
4,2022-01-04,Nicolas Dupont-Aignan,Extrême droite,75800,76300,500,0.006596306068601583,22339029,22602927,263898,0.011813315610092094,2507,2528,21,0.008376545672118069
5,2022-01-04,Jean Lassalle,divers,17700,18000,300,0.01694915254237288,4765037,4855300,90263,0.01894277001416778,268,272,4,0.014925373134328358
6,2022-01-04,Jean-Luc Mélenchon,Extrême gauche,609000,625000,16000,0.026272577996715927,128322180,133748158,5425978,0.042284022917939826,1181,1200,19,0.016088060965283656
7,2022-01-04,Yannick Jadot,vert,252,603,351,1.3928571428571428,9657,17618,7961,0.8243761002381692,77,89,12,0.15584415584415584
8,2022-01-04,Nathalie Arthaud,Extrême gauche,2280,2320,40,0.017543859649122806,293303,297854,4551,0.015516377261739565,377,382,5,0.013262599469496022
9,2022-01-04,Avec vous,majorité,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
10,2022-01-04,Fabien Roussel,Extrême gauche,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
11,2022-01-04,Anne Hidalgo,gauche,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,2022-02-04,Emmanuel Macron,centre,232000,233000,1000,0.004310344827586207,16426713,16673581,246868,0.01502844787024647,336,342,6,0.017857142857142856
1,2022-02-04,Valérie Pécresse,droite,0,0,0,0.0,183708,319243,135535,0.7377740762514425,309,329,20,0.06472491909385113
2,2022-02-04,Eric Zemmour,Extrême droite,358000,403000,45000,0.12569832402234637,25116829,39983007,14866178,0.5918811646167595,56,90,34,0.6071428571428571
3,2022-02-04,Marine Le Pen,Extrême droite,52800,54300,1500,0.028409090909090908,5628373,5847842,219469,0.03899332897801905,213,242,29,0.13615023474178403
4,2022-02-04,Nicolas Dupont-Aignan,Extrême droite,76300,78900,2600,0.03407601572739188,22602927,23608551,1005624,0.04449087500924106,2528,2585,57,0.02254746835443038
5,2022-02-04,Jean Lassalle,divers,18000,21900,3900,0.21666666666666667,4855300,5347668,492368,0.1014083578769592,272,280,8,0.029411764705882353
6,2022-02-04,Jean-Luc Mélenchon,Extrême gauche,625000,656000,31000,0.0496,133748158,143284288,9536130,0.0712991501535296,1200,1229,29,0.024166666666666666
7,2022-02-04,Yannick Jadot,vert,603,1360,757,1.2553897180762852,17618,44876,27258,1.547167669428993,89,120,31,0.34831460674157305
8,2022-02-04,Nathalie Arthaud,Extrême gauche,2320,2470,150,0.06465517241379311,297854,308096,10242,0.03438597433641986,382,407,25,0.06544502617801047
9,2022-02-04,Avec vous,majorité,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
10,2022-02-04,Fabien Roussel,Extrême gauche,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
11,2022-02-04,Anne Hidalgo,gauche,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,2022-03-04,Emmanuel Macron,centre,233000,241000,8000,0.034334763948497854,16673581,17408690,735109,0.04408824954879219,342,345,3,0.008771929824561403
1,2022-03-04,Valérie Pécresse,droite,0,0,0,0.0,319243,479722,160479,0.5026860416673192,329,355,26,0.0790273556231003
2,2022-03-04,Eric Zemmour,Extrême droite,403000,433000,30000,0.07444168734491315,39983007,50513856,10530849,0.2633831167325659,90,109,19,0.2111111111111111
3,2022-03-04,Marine Le Pen,Extrême droite,54300,56000,1700,0.03130755064456722,5847842,6070911,223069,0.03814552445158402,242,262,20,0.08264462809917356
4,2022-03-04,Nicolas Dupont-Aignan,Extrême droite,78900,79300,400,0.005069708491761723,23608551,24165744,557193,0.023601321402571467,2585,2634,49,0.018955512572533847
5,2022-03-04,Jean Lassalle,divers,21900,22600,700,0.0319634703196347,5347668,5429178,81510,0.015242157890130802,280,287,7,0.025
6,2022-03-04,Jean-Luc Mélenchon,Extrême gauche,656000,697000,41000,0.0625,143284288,154289060,11004772,0.07680375953014472,1229,1257,28,0.022782750203417412
7,2022-03-04,Yannick Jadot,vert,1360,2150,790,0.5808823529411765,44876,105122,60246,1.3424993314912204,120,156,36,0.3
8,2022-03-04,Nathalie Arthaud,Extrême gauche,2470,2820,350,0.1417004048582996,308096,330353,22257,0.07224047050270045,407,429,22,0.05405405405405406
9,2022-03-04,Avec vous,majorité,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
10,2022-03-04,Fabien Roussel,Extrême gauche,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
11,2022-03-04,Anne Hidalgo,gauche,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,2022-03-26,Emmanuel Macron,centre,241000,0,-241000,-1.0,17408690,0,-17408690,-1.0,345,0,-345,-1.0
1,2022-03-26,Valérie Pécresse,droite,0,0,0,0.0,479722,617680,137958,0.2875790562033845,355,380,25,0.07042253521126761
2,2022-03-26,Eric Zemmour,Extrême droite,433000,449000,16000,0.03695150115473441,50513856,52449907,1936051,0.038327127511310954,109,123,14,0.12844036697247707
3,2022-03-26,Marine Le Pen,Extrême droite,56000,57300,1300,0.023214285714285715,6070911,6186184,115273,0.0189877598271495,262,277,15,0.05725190839694656
4,2022-03-26,Nicolas Dupont-Aignan,Extrême droite,79300,82900,3600,0.04539722572509458,24165744,24794269,628525,0.02600892403726531,2634,2672,38,0.01442672741078208
5,2022-03-26,Jean Lassalle,divers,22600,26400,3800,0.168141592920354,5429178,5782203,353025,0.06502365551470222,287,296,9,0.0313588850174216
6,2022-03-26,Jean-Luc Mélenchon,Extrême gauche,697000,723000,26000,0.03730272596843615,154289060,162537202,8248142,0.053459020360873286,1257,1275,18,0.014319809069212411
7,2022-03-26,Yannick Jadot,vert,2150,3040,890,0.413953488372093,105122,393510,288388,2.74336485226689,156,213,57,0.36538461538461536
8,2022-03-26,Nathalie Arthaud,Extrême gauche,2820,3430,610,0.21631205673758866,330353,371554,41201,0.12471810457298707,429,461,32,0.07459207459207459
9,2022-03-26,Avec vous,majorité,0,27600,27600,1.0,0,856288,856288,1.0,0,33,33,1.0
10,2022-03-26,Fabien Roussel,Extrême gauche,0,498,498,1.0,0,4705,4705,1.0,0,25,25,1.0
11,2022-03-26,Anne Hidalgo,gauche,0,0,0,0.0,0,57565,57565,1.0,0,44,44,1.0
