,dateRqt,candidat,parti,courant,chaine,titreVideo,vid_id,dateVideo,liste_tags,livebroadcast,vuesVideo,likesVideo,dislikesVideo,favVideo,comzVideo,dureeVideo
4193,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour : Déclaration solennelle sur la guerre en Ukraine,4pRBW4rEtbA,2022-02-24 13:05:05,"['zemmour président', 'zemmour', 'eric zemmour', ""les amis d'eric zemmour"", ""les amis d'eric zemmour interview"", 'causeur', 'valeurs actuelles', 'france', 'islam', 'patriote', ""face à l'info"", ""face à l'info 2021"", ""charlotte d'ornellas"", 'terrorisme', 'cnews', 'face à face', 'presidentielle 2022', 'Z00Z', 'immigration', 'zemmour 2022', 'actu', 'ukraine', 'russie', 'poutine', 'guerre']",none,1014328,39018,0,0,8126,0 days 00:04:32
4195,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour invité à La France dans les yeux,5oeM3oxmNhs,2022-02-11 17:30:30,"['Éric Zemmour invité à La France dans les yeux', 'Interview Eric Zemmour La France dans les yeux', 'Éric Zemmour invité La France dans les yeux', 'zemmour La France dans les yeux', 'zemmour bruce toussaint', 'zemmour président', 'zemmour', 'eric zemmour', 'valeurs actuelles', 'zemmour 2022', 'reconquête', 'La France dans les yeux zemmour', 'replay zemmour La France dans les yeux', 'politique', 'Éric Zemmour La France dans les yeux', 'bfmtv', 'Éric Zemmour bfmtv', ""face à l'info"", 'patriote', 'La France dans les yeux', 'actu']",none,928677,20186,0,0,7035,0 days 02:41:56
4198,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour invité chez France Inter,A1E4D_oPFiM,2022-02-08 09:00:00,"['Éric Zemmour invité chez France Inter', 'zemmour France Inter', 'zemmour salamé', 'eric zemmour France Inter', 'zemmour président', 'zemmour', 'eric zemmour', 'interview zemmour', 'eric zemmour cnews', 'pascal praud', ""les amis d'eric zemmour"", 'causeur', 'valeurs actuelles', 'france', 'islam', 'patriote', ""face à l'info"", ""face à l'info 2021"", ""charlotte d'ornellas"", 'terrorisme', 'cnews', 'presidentielle 2022', 'Z00Z', 'immigration', 'zemmour 2022', 'France Inter zemmour', 'actualité', 'France Inter', 'politique', 'france inter']",none,832047,20867,0,0,6835,0 days 01:11:15
4199,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour : Meeting sur le Pouvoir d'Achat à Lille,vwHt1p5xdfk,2022-02-05 17:08:08,"['Éric Zemmour à Lille en direct', 'zemmour Lille', 'zemmour à Lille', 'conference zemmour Lille', 'discours zemmour Lille', 'zemmour discours Lille', 'zemmour président', 'zemmour', 'eric zemmour', 'reconquête', 'valeurs actuelles', 'france', ""charlotte d'ornellas"", 'france rurale', 'presidentielle 2022', 'Z00Z', 'immigration', 'Lille', 'zemmour Lille 2022', 'eric zemmour Lille', 'actu', 'discours Lille', ""zemmour pouvoir d'achat"", 'Éric Zemmour à Lille', 'live zemmour Lille', 'zemmour à Lille en direct', ""pouvoir d'achat"", 'patriote']",none,818174,37802,0,0,10036,0 days 02:33:25
4205,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour invité à Mission Convaincre,MwvG2tjiP5U,2022-02-03 17:00:00,"['Interview Eric Zemmour Mission convaincre', 'Éric Zemmour invité à Mission convaincre', 'zemmour Mission convaincre', 'zemmour pujadas Mission convaincre', 'zemmour président', 'zemmour', 'eric zemmour', 'valeurs actuelles', 'zemmour 2022', 'eric zemmour ruth elkrief', 'reconquête', 'Mission convaincre zemmour', 'replay zemmour Mission convaincre', 'politique', 'Éric Zemmour invité de Mission convaincre', 'lci', 'Éric Zemmour lci', ""face à l'info"", 'patriote', 'Mission convaincre', 'zemmour sur Mission convaincre', 'actu']",none,740635,20172,0,0,7689,0 days 02:47:23
4207,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour invité à l'émission En toute vérité,IQhCUIVp-wU,2022-02-13 15:15:15,"['Éric Zemmour invité à En toute vérité', 'zemmour En toute vérité', 'zemmour sud radio', 'eric zemmour En toute vérité', 'zemmour président', 'zemmour', 'eric zemmour', 'interview zemmour', 'eric zemmour sud radio', 'pascal praud', ""les amis d'eric zemmour"", 'valeurs actuelles', 'france', 'islam', 'patriote', ""face à l'info"", ""face à l'info 2021"", ""charlotte d'ornellas"", 'terrorisme', 'cnews', 'presidentielle 2022', 'Z00Z', 'immigration', 'zemmour 2022', 'En toute vérité zemmour', 'actualité', 'En toute vérité', 'politique', 'sud radio', 'actu']",none,660819,20564,0,0,5117,0 days 00:47:37
4214,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour à Saulieu : Je veux protéger les Français,OWlII5mIA6M,2022-02-12 16:27:27,"['Éric Zemmour à Saulieu en direct', 'zemmour Saulieu', 'zemmour à Saulieu', 'conference zemmour Saulieu', 'discours zemmour Saulieu', 'zemmour discours Saulieu', 'zemmour président', 'zemmour', 'eric zemmour', 'reconquête', 'valeurs actuelles', 'france', ""charlotte d'ornellas"", 'france rurale', 'presidentielle 2022', 'Z00Z', 'immigration', 'Saulieu', 'zemmour Saulieu 2022', 'eric zemmour Saulieu', 'actu', 'discours Saulieu', 'zemmour protection', 'Éric Zemmour à Saulieu', 'live zemmour Saulieu', 'zemmour à Saulieu en direct']",none,526267,25818,0,0,4490,0 days 02:01:00
4217,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,"Éric Zemmour au Mont-Saint-Michel : ""La France doit être grande et puissante !""",I3e4dx_4zoI,2022-02-19 12:20:20,"['Éric Zemmour au Mont-Saint-Michel en direct', 'zemmour Mont-Saint-Michel', 'zemmour au Mont-Saint-Michel', 'conference zemmour Mont-Saint-Michel', 'discours zemmour Mont-Saint-Michel', 'zemmour discours Mont-Saint-Michel', 'zemmour président', 'zemmour', 'eric zemmour', 'reconquête', 'france', ""charlotte d'ornellas"", 'presidentielle 2022', 'Z00Z', 'immigration', 'Mont-Saint-Michel', 'discours Mont-Saint-Michel', 'live zemmour Mont-Saint-Michel', 'zemmour à Mont-Saint-Michel en direct', 'meeting zemmour grandeur de la france']",none,510822,27221,0,0,6140,0 days 01:00:11
4221,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour à Chambéry : Meeting sur la paix,sxtbgMacjpg,2022-02-25 19:56:56,"['Éric Zemmour à Chambéry en direct', 'zemmour Chambéry', 'zemmour à Chambéry', 'conference zemmour Chambéry', 'discours zemmour Chambéry', 'zemmour discours Chambéry', 'zemmour président', 'zemmour', 'eric zemmour', 'reconquête', 'france', ""charlotte d'ornellas"", 'presidentielle 2022', 'Z00Z', 'immigration', 'Chambéry', 'discours Chambéry', 'live zemmour Chambéry', 'zemmour à Chambéry en direct', 'meeting zemmour sur la paix', 'live zemmour à Chambéry', 'meeting zemmour à Chambéry', 'discours zemmour sur la paix à chambéry']",none,473474,26957,0,0,5112,0 days 01:04:01
4228,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour chez Alliance Police Nationale,jBBKZ0Wo_Z4,2022-02-03 08:00:00,"['Éric Zemmour chez Alliance Police Nationale', 'Éric Zemmour Alliance Police Nationale', 'eric zemmour police', 'zemmour président', 'zemmour', 'eric zemmour', ""les amis d'eric zemmour"", 'reconquete interview', 'valeurs actuelles', 'france', 'islam', 'patriote', ""face à l'info"", ""face à l'info 2021"", ""charlotte d'ornellas"", 'terrorisme', 'cnews', 'presidentielle 2022', 'Z00Z', 'zemmour 2022', 'actu', 'zemmour Alliance Police Nationale', 'Alliance Police Nationale', 'zemmour alliance police', 'police nationale', 'zemmour chez alliance']",none,428541,17195,0,0,3870,0 days 00:36:48
4229,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour : Mon appel solennel aux maires de France,-VjG1N7pIyE,2022-02-22 17:00:00,"['Éric Zemmour : Mon appel solennel aux maires de France', 'Éric Zemmour appel solennel aux maires de France', 'eric zemmour appel maires de France', 'zemmour président', 'zemmour', 'eric zemmour', 'reconquête', 'causeur', 'valeurs actuelles', 'france', 'islam', 'patriote', ""charlotte d'ornellas"", 'terrorisme', 'cnews', 'presidentielle 2022', 'Z00Z', 'immigration', 'zemmour 2022', 'actu', 'zemmour Nouvelle-Calédonie', 'appel solennel aux maires de France', 'maire de France', 'zemmour parrainage', 'zemmour parrainage maire']",none,413182,27565,0,0,5687,0 days 00:01:50
4240,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour : Mon message aux Abstentionnistes,WoKDMQ5DaRY,2022-02-09 09:30:30,"['Éric Zemmour : Mon message aux Abstentionnistes', 'Éric Zemmour message aux Abstentionnistes', 'eric zemmour Abstentionnistes', 'zemmour président', 'zemmour', 'eric zemmour', ""les amis d'eric zemmour"", 'causeur', 'valeurs actuelles', 'france', 'islam', 'patriote', ""face à l'info"", ""face à l'info 2021"", ""charlotte d'ornellas"", 'terrorisme', 'cnews', 'face à face', 'presidentielle 2022', 'Z00Z', 'immigration', 'zemmour 2022', 'actu', 'zemmour Abstentionnistes', 'Abstentionnistes', 'message zemmour abstentionnistes', 'politique']",none,331772,23799,0,0,4921,0 days 00:06:23
4242,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour invité au Grand Rendez-vous,H0FC_5tP414,2022-02-21 08:30:30,"['Éric Zemmour invité au Grand Rendez-vous', 'Interview Eric Zemmour Le Grand Rendez-vous', 'Éric Zemmour Le Grand Rendez-vous', 'zemmour le Grand Rendez-vous', 'zemmour sonia mabrouk', 'zemmour président', 'zemmour', 'eric zemmour', 'valeurs actuelles', 'zemmour 2022', 'reconquête', 'Le Grand Rendez-vous zemmour', 'replay zemmour Le Grand Rendez-vous', 'politique', 'cnews', 'Éric Zemmour cnews', ""face à l'info"", 'patriote', 'Le Grand Rendez-vous', 'actu']",none,326918,12043,0,0,3515,0 days 00:45:20
4249,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour : Mon programme pour la Défense nationale,L2MEf6V_kyo,2022-02-20 17:15:15,"['Éric Zemmour : Mon programme pour la Défense nationale', 'Éric Zemmour programme pour la Défense nationale', 'eric zemmour programme défense nationale', 'zemmour président', 'zemmour', 'eric zemmour', 'reconquête', 'causeur', 'valeurs actuelles', 'france', 'islam', 'patriote', ""face à l'info"", ""face à l'info 2021"", ""charlotte d'ornellas"", 'terrorisme', 'cnews', 'presidentielle 2022', 'Z00Z', 'zemmour 2022', 'actu', 'zemmour Défense nationale', 'programme Défense nationale', 'defense nationale', 'zemmour conference de presse']",none,309560,14935,0,0,3127,0 days 00:48:48
4257,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,"Éric Zemmour : Fessenheim, la terrible faute de Macron",N4ODr-d79fw,2022-02-04 21:30:30,"['Éric Zemmour : Fessenheim la terrible faute de Macron', 'discours zemmour fessenheim', 'Éric Zemmour message Fessenheim', 'eric zemmour Fessenheim', 'zemmour président', 'zemmour', 'eric zemmour', ""les amis d'eric zemmour"", 'causeur', 'valeurs actuelles', 'france', 'islam', 'patriote', ""face à l'info"", ""face à l'info 2021"", ""charlotte d'ornellas"", 'terrorisme', 'cnews', 'face à face', 'presidentielle 2022', 'Z00Z', 'immigration', 'zemmour 2022', 'actu', 'zemmour fessenheim macron', 'fessenheim', 'macron zemmour', 'macron fessenheim']",none,282359,21117,0,0,3667,0 days 00:09:27
4273,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour : Mon message aux militants Reconquête!,3aCtk50Gf20,2022-02-24 07:30:30,"['Éric Zemmour : Mon message aux militants Reconquête', 'Éric Zemmour message aux militants Reconquête', 'eric zemmour message aux militants Reconquête', 'zemmour président', 'zemmour', 'eric zemmour', 'reconquête', 'causeur', 'valeurs actuelles', 'france', 'islam', 'patriote', ""charlotte d'ornellas"", 'terrorisme', 'presidentielle 2022', 'Z00Z', 'immigration', 'zemmour 2022', 'actu', 'zemmour message reconquete', 'message aux militants zemmour', 'militants reconquete', 'zemmour message militant', 'message zemmour militant reconquete']",none,184511,13885,0,0,1943,0 days 00:01:48
4285,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,TOP d'Éric Zemmour à Lille,t9IC7gDnJ0E,2022-02-07 16:00:00,"[""TOP d'Eric Zemmour à Lille"", 'top zemmour à Lille', 'top zemmour Lille', 'Éric Zemmour Lille', 'zemmour Cannes', 'eric zemmour à Cannes', 'zemmour à Lille', 'zemmour président', 'zemmour', 'eric zemmour', 'interview zemmour', 'eric zemmour cnews', 'pascal praud', ""les amis d'eric zemmour"", 'valeurs actuelles', 'france', 'islam', 'patriote', ""face à l'info"", ""face à l'info 2021"", 'presidentielle 2022', 'Z00Z', 'immigration', 'zemmour 2022', 'top zemmour', 'Lille', 'cnews', 'le meilleur de zemmour à Lille', 'replay zemmour lille']",none,108820,6515,0,0,1191,0 days 00:25:22
4287,2022/03/08,Eric Zemmour,Aucun,Extrême droite,Éric Zemmour,Éric Zemmour : Merci Lille !,5zcWrqOAt4s,2022-02-10 08:00:00,"['Éric Zemmour : Merci Lille !', 'Éric Zemmour Lille', 'zemmour Lille', 'zemmour à Lille', 'conference zemmour Lille', ""c'était Lille"", 'eric zemmour chaine youtube', 'zemmour président', 'zemmour', 'eric zemmour', ""les amis d'eric zemmour"", 'reconquête!', 'france', 'patriote', ""face à l'info 2021"", ""charlotte d'ornellas"", 'presidentielle 2022', 'Z00Z', 'zemmour 2022', 'Lille', 'Lille zemmour', 'eric zemmour Lille', 'discours zemmour Lille', 'politique', 'valeurs actuelles', 'actu']",none,92368,7846,0,0,1558,0 days 00:02:37
